index,source_id,source_path,file_type,document_char_count,document_word_count,chunk_count,avg_chunk_words,max_chunk_words,min_chunk_words,status
52,1JXcwqQyfLcDg6Br0YAVgkrLRozZEf33hp1xoM1_nDCU,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/Summer 2024 Water Flow Tests Report,txt,1116,171,1,171.0,171,171,ok
53,1VkGqAnb6-FaJ_cQa853U8bwOjjLLzZWzMEn8EsnzauU,Technical Teams/Fluids and Internal Structures/Archive/PHIL Mk.2/PHIL Mk. 2 CONOPS,txt,3506,582,1,582.0,582,582,ok
54,1Lq-KHurpP8NncyMg3GZ8z3iWjVnKkFMKo-uRx3Dlz24,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E PX309 Omega Pressure Transducers Calibration,txt,1208,189,1,189.0,189,189,ok
55,1UQiMSVdhq4etUH5EgtOpi6BdmIIz_RmNlh6duTUh5rk,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E Spring 2025 Testing Site,txt,1687,318,1,318.0,318,318,ok
56,1pu7S0RLOaLhO9ZjWPDpSvsRAuWKp3UTv_ljqroCry8A,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E TaskMaster,txt,576,95,1,95.0,95,95,ok
57,1V13vphE5c8hMQW5kUWhGN-rww_AdJ4tEyxvi6fEf5p8,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/Pneumatic Actuator and Flex Hose Research,txt,4818,719,1,719.0,719,719,ok
58,1XF_-Xbau9v-t4gijTCZ2ilvbvrSHNCqf4hiskl6Id4Q,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E Components/MV1-OX-V Nema Stepper Motor Research,txt,2095,352,1,352.0,352,352,ok
59,1c9FidAiE2JhJzE_TVU4FuzakeO62N5KchOAvHo3E5JE,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E Components/MV1-OX-V Nema Stepper Motor,pdf,1261,204,1,204.0,204,204,ok
60,18s4mIzWJcEuk5gLoJRMX-pQqbwiXgHAfgMTtfjoeLMc,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E CDR/RAND-E CDR Feedback,txt,1288,211,1,211.0,211,211,ok
61,1JiOTtFAfF4mLlsbW0l45IrglFY1ijk9iDCZOx55MDUU,Technical Teams/Fluids and Internal Structures/Archive/P&IDs/Randy 2 Reference Sheet,txt,4732,674,1,674.0,674,674,ok
