index,source_id,source_path,local_path,extension,status,char_count,word_count,error
50,14rMYcNOsUK6bA4CJDl1YpehBjvojWjpG0EM0OkEM79g,Technical Teams/Fluids and Internal Structures/Archive/Grunt OF Analysis,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Grunt OF Analysis.txt,.txt,ok,1666,292,
51,1jFBJaEXsbmFdffSjpCLZ0cgifjOCed26_uun_RF5oGA,Technical Teams/Fluids and Internal Structures/Archive/Proposed Source of Truth Requirements,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Proposed Source of Truth Requirements.txt,.txt,ok,1909,301,
52,1CkaYQBrknFr7BSGZXgIsA5bjtBBzUD35,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/3/13/25 Water Flow Testing/Trial 5/6/7 Raw Data/14-03-2025-00-19-52-146-1-PT6-OX-PROP.csv,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/14-03-2025-00-19-52-146-1-PT6-OX-PROP.csv,.csv,ok,825588,280272,
53,1GPZj7z0ZnuBUFAzS8Bj6DVVzzKz0Tepj,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/3/13/25 Water Flow Testing/Trial 5/6/7 Raw Data/14-03-2025-00-19-44-146-6-PT3-OX-TNK.csv,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/14-03-2025-00-19-44-146-6-PT3-OX-TNK.csv,.csv,ok,322332,43983,
54,1WbjekD9ZPU1oUd53hFpJmY_AgGNaeIuD,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/3/13/25 Water Flow Testing/Trial 5/6/7 Raw Data/14-03-2025-00-19-48-146-7-PT4-F-TNK.csv,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/14-03-2025-00-19-48-146-7-PT4-F-TNK.csv,.csv,ok,896558,323601,
55,1aLThtKASE42fFHrvedxMyTXDnnBm9Z8H,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/3/13/25 Water Flow Testing/Trial 5/6/7 Raw Data/14-03-2025-00-19-55-146-2-PT7-F-PROP.csv,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/14-03-2025-00-19-55-146-2-PT7-F-PROP.csv,.csv,ok,842486,295723,
56,1JXcwqQyfLcDg6Br0YAVgkrLRozZEf33hp1xoM1_nDCU,Technical Teams/Fluids and Internal Structures/Archive/Water Flow Tests/Summer 2024 Water Flow Tests Report,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/Summer 2024 Water Flow Tests Report.txt,.txt,ok,1116,171,
57,1VkGqAnb6-FaJ_cQa853U8bwOjjLLzZWzMEn8EsnzauU,Technical Teams/Fluids and Internal Structures/Archive/PHIL Mk.2/PHIL Mk. 2 CONOPS,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/PHIL Mk. 2 CONOPS.txt,.txt,ok,3506,582,
58,1Lq-KHurpP8NncyMg3GZ8z3iWjVnKkFMKo-uRx3Dlz24,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E PX309 Omega Pressure Transducers Calibration,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/RAND-E PX309 Omega Pressure Transducers Calibration.txt,.txt,ok,1208,189,
59,1UQiMSVdhq4etUH5EgtOpi6BdmIIz_RmNlh6duTUh5rk,Technical Teams/Fluids and Internal Structures/Archive/RAND-E/RAND-E Spring 2025 Testing Site,/Users/jerichlee/Documents/drive-retrieval/rag_downloads/RAND-E Spring 2025 Testing Site.txt,.txt,ok,1687,318,
