index,id,name,path,mimeType,webViewLink,mode,export_mime,local_path,status,size_written_bytes,error
1505,1En_TXxUtD78ppUTNQCPQMRuMwg6Q39Gd,Heat Transfer Lecture.pdf,Technical Teams/Engine/General Resources/numerical analysis/Heat Transfer Lecture.pdf,application/pdf,https://drive.google.com/file/d/1En_TXxUtD78ppUTNQCPQMRuMwg6Q39Gd/view?usp=drivesdk,download,,rag_downloads/Heat Transfer Lecture.pdf,download,1613256.0,
1506,1yWiCM77gazGyO4ntMrTcYEK24xzL6MPZ,RPE Heat Analaysis.pdf,Technical Teams/Engine/General Resources/numerical analysis/RPE Heat Analaysis.pdf,application/pdf,https://drive.google.com/file/d/1yWiCM77gazGyO4ntMrTcYEK24xzL6MPZ/view?usp=drivesdk,download,,rag_downloads/RPE Heat Analaysis.pdf,download,448790.0,
1507,1_T3KLVcmO5y4c1YRgdacDKUBw6W3exjDEjK94tjDFRQ,Regen channel numerical simulation,Technical Teams/Engine/General Resources/numerical analysis/Regen channel numerical simulation,application/vnd.google-apps.document,https://docs.google.com/document/d/1_T3KLVcmO5y4c1YRgdacDKUBw6W3exjDEjK94tjDFRQ/edit?usp=drivesdk,export,text/plain,rag_downloads/Regen channel numerical simulation.txt,export,5367.0,
1508,1SSyBDO-J5hM48RLHGMod8Jj7oF2Reyrh,SazonovGleb2021.pdf,Technical Teams/Engine/General Resources/numerical analysis/general cooling design/SazonovGleb2021.pdf,application/pdf,https://drive.google.com/file/d/1SSyBDO-J5hM48RLHGMod8Jj7oF2Reyrh/view?usp=drivesdk,download,,rag_downloads/SazonovGleb2021.pdf,download,1929074.0,
1509,1NXXjHC9Aisgu-ACXlxxs59QARo0VGf7_,Merkle and Sankaran - ANALYSIS OF REGEN COOLING IN ROCKET COMBUSTORS.pdf,Technical Teams/Engine/General Resources/numerical analysis/general cooling design/Merkle and Sankaran - ANALYSIS OF REGEN COOLING IN ROCKET COMBUSTORS.pdf,application/pdf,https://drive.google.com/file/d/1NXXjHC9Aisgu-ACXlxxs59QARo0VGf7_/view?usp=drivesdk,download,,rag_downloads/Merkle and Sankaran - ANALYSIS OF REGEN COOLING IN ROCKET COMBUSTORS.pdf,download,11565512.0,
1510,1HcsCoHVgybD9Bxy2ohJ0wKwwsS0BV3HQ,Zhang et al. - 2007 - Numerical Study of Film and Regenerative Cooling i.pdf,Technical Teams/Engine/General Resources/numerical analysis/general cooling design/Zhang et al. - 2007 - Numerical Study of Film and Regenerative Cooling i.pdf,application/pdf,https://drive.google.com/file/d/1HcsCoHVgybD9Bxy2ohJ0wKwwsS0BV3HQ/view?usp=drivesdk,download,,rag_downloads/Zhang et al. - 2007 - Numerical Study of Film and Regenerative Cooling i.pdf,download,655852.0,
1511,1BL21wavEkye3jBUgk_JVFynM-vGOy0na,Huang and Huzel - 1992 - Modern Engineering for Design of Liquid-Propellant.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/personally prefer/Huang and Huzel - 1992 - Modern Engineering for Design of Liquid-Propellant.pdf,application/pdf,https://drive.google.com/file/d/1BL21wavEkye3jBUgk_JVFynM-vGOy0na/view?usp=drivesdk,download,,rag_downloads/Huang and Huzel - 1992 - Modern Engineering for Design of Liquid-Propellant.pdf,download,38145507.0,
1512,1MdPM1HvfcXgxjTb3LdjMvQm7BG4_hV_p,Comparison of High Aspect Ratio Cooling Channel Designs for a Rocket Combustion CHamber With Development of an Optimized Design.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/personally prefer/Comparison of High Aspect Ratio Cooling Channel Designs for a Rocket Combustion CHamber With Development of an Optimized Design.pdf,application/pdf,https://drive.google.com/file/d/1MdPM1HvfcXgxjTb3LdjMvQm7BG4_hV_p/view?usp=drivesdk,download,,rag_downloads/Comparison of High Aspect Ratio Cooling Channel Designs for a Rocket Combustion CHamber With Development of an Optimized Design.pdf,download,3382213.0,
1513,1saEhyyvdtA47W_nQ2iT9GGw_hy6G71oM,Song et al. - 2021 - Study on the heat transfer characteristics of rege.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/Song et al. - 2021 - Study on the heat transfer characteristics of rege.pdf,application/pdf,https://drive.google.com/file/d/1saEhyyvdtA47W_nQ2iT9GGw_hy6G71oM/view?usp=drivesdk,download,,rag_downloads/Song et al. - 2021 - Study on the heat transfer characteristics of rege.pdf,download,1841814.0,
1514,1NYMo20C-PGB1-w6129ukF8pj8cSdvMzp,Naraghi and Technologies - A COMPUTER CODE FOR THREE-DIMENSIONAL ROCKET THERM.pdf,Technical Teams/Engine/General Resources/numerical analysis/numerical analysis of regen/Naraghi and Technologies - A COMPUTER CODE FOR THREE-DIMENSIONAL ROCKET THERM.pdf,application/pdf,https://drive.google.com/file/d/1NYMo20C-PGB1-w6129ukF8pj8cSdvMzp/view?usp=drivesdk,download,,rag_downloads/Naraghi and Technologies - A COMPUTER CODE FOR THREE-DIMENSIONAL ROCKET THERM.pdf,download,2454970.0,
